"HomePlanet","CryoSleep","Destination","Age","VIP","Group_id","Deck","Num","Side","Group_size","LuxuryExpenses","RegularExpenses"
"Earth","True","TRAPPIST-1e",27,"False",13,"G",3,"S",1,0,0
"Earth","False","TRAPPIST-1e",19,"False",18,"F",4,"S",1,2823,9
"Europa","True","55 Cancri e",31,"False",19,"C",0,"S",1,0,0
"Europa","False","TRAPPIST-1e",38,"False",21,"C",1,"S",1,766,6652
"Earth","False","TRAPPIST-1e",20,"False",23,"F",5,"S",1,10,635
"Earth","False","TRAPPIST-1e",31,"False",27,"F",7,"P",1,173,1878
"Europa","True","55 Cancri e",21,"False",29,"B",2,"P",1,0,0
"Europa","True","TRAPPIST-1e",20,"False",32,"D",0,"S",2,0,0
"Europa","True","55 Cancri e",23,"False",32,"D",0,"S",2,0,0
"Earth","False","55 Cancri e",24,"False",33,"F",7,"S",1,0,639
"Earth","False","TRAPPIST-1e",19,"False",37,"F",9,"S",1,576,139
"Europa","False","TRAPPIST-1e",45,"False",40,"D",2,"P",2,1949,137
"Europa","False","TRAPPIST-1e",44,"False",40,"D",2,"P",2,238,1561
"Mars","True","TRAPPIST-1e",46,"False",42,"E",0,"P",1,0,0
"Earth","False","TRAPPIST-1e",21,"False",46,"G",4,"P",3,1779,0
"Earth","False","TRAPPIST-1e",27,"False",46,"F",11,"P",3,903,0
"Earth","False","TRAPPIST-1e",20,"False",46,"F",11,"P",3,1149,265
"Europa","True","TRAPPIST-1e",44,"False",47,"B",0,"S",3,0,0
"Europa","False","TRAPPIST-1e",29,"False",47,"B",33.0032943668247,"S",3,912,7951
"Europa","False","TRAPPIST-1e",40,"False",47,"B",0,"S",3,3233,1933
"Earth","False","TRAPPIST-1e",30,"False",48,"G",5,"S",1,3,904
"Earth","False","TRAPPIST-1e",14,"False",49,"E",1,"P",1,2642,0
"Europa","True","55 Cancri e",31,"False",54,"B",4,"P",3,0,0
"Europa","False","55 Cancri e",27,"False",54,"B",4,"P",3,1239,6977
"Europa","False","55 Cancri e",66,"False",54,"B",4,"P",3,1603,6452
"Earth","False","TRAPPIST-1e",24,"False",55,"G",5,"P",1,1802,26
"Europa","False","55 Cancri e",19,"False",57,"C",1,"P",1,833,8768
"Earth","True","TRAPPIST-1e",36,"False",59,"E",2,"P",1,0,0
"Earth","False","TRAPPIST-1e",21,"False",60,"F",12,"P",1,3,631
"Earth","True","55 Cancri e",18,"False",63,"G",8,"S",1,0,0
"Earth","True","TRAPPIST-1e",26,"False",65,"G",9,"S",1,0,0
"Earth","False","TRAPPIST-1e",19,"False",75,"G",11,"S",1,598,30
"Earth","True","TRAPPIST-1e",48,"False",79,"G",12,"S",1,0,0
"Earth","False","TRAPPIST-1e",23,"False",80,"G",7,"P",1,37,870
"Earth","False","TRAPPIST-1e",24,"False",83,"G",8,"P",1,697,87
"Earth","False","TRAPPIST-1e",19,"False",87,"E",3,"P",1,632,155
"Mars","True","TRAPPIST-1e",24,"False",89,"F",19,"S",1,0,0
"Earth","False","TRAPPIST-1e",27,"False",93,"G",10,"P",1,81,1736
"Earth","True","TRAPPIST-1e",6,"False",94,"G",17,"S",2,0,0
"Earth","False","TRAPPIST-1e",33,"False",94,"F",21,"S",2,866,0
"Earth","False","PSO J318.5-22",23,"False",95,"F",18,"P",1,0,1235
"Earth","False","PSO J318.5-22",30,"False",96,"F",22,"S",1,485,1585
"Earth","False","TRAPPIST-1e",24.0889912531946,"False",100,"G",13,"P",2,0,1014
"Earth","False","TRAPPIST-1e",1,"False",100,"G",13,"P",2,0,0
"Earth","False","TRAPPIST-1e",20,"False",104,"F",25,"S",1,600,0
"Earth","True","TRAPPIST-1e",17,"False",106,"F",26,"S",1,0,0
"Earth","False","TRAPPIST-1e",34,"False",109,"F",22,"P",1,557,39
"Earth","False","PSO J318.5-22",24,"False",117,"E",4,"P",1,686,104
"Earth","False","TRAPPIST-1e",29,"False",118,"G",14,"P",1,15,880
"Earth","False","TRAPPIST-1e",20,"False",121,"F",26,"P",1,2613,3
"Earth","True","55 Cancri e",5,"False",124,"G",15,"P",1,0,0
"Europa","True","55 Cancri e",22,"False",125,"B",6,"P",2,0,0
"Europa","False","TRAPPIST-1e",16,"False",125,"B",6,"P",2,6424,2872
"Earth","True","55 Cancri e",7,"False",130,"G",16,"P",1,0,0
"Earth","False","55 Cancri e",36,"False",131,"F",28,"S",1,36,571
"Mars","False","55 Cancri e",26,"False",132,"D",4,"S",1,143,2620
"Earth","False","TRAPPIST-1e",40,"False",135,"F",28,"P",1,413,515
"Earth","True","TRAPPIST-1e",29,"False",137,"G",24,"S",1,0,0
"Mars","True","TRAPPIST-1e",2,"False",142,"F",30,"S",3,0,0
"Mars","False","TRAPPIST-1e",23,"False",142,"F",30,"S",3,887,402
"Mars","False","TRAPPIST-1e",0,"False",142,"F",30,"S",3,0,0
"Europa","False","55 Cancri e",30,"False",143,"C",2,"P",1,3552,14961
"Earth","False","TRAPPIST-1e",56,"False",145,"E",6,"P",1,723,67
"Europa","True","TRAPPIST-1e",36,"False",150,"B",7,"P",2,0,0
"Europa","True","TRAPPIST-1e",56,"False",150,"B",7,"P",2,0,0
"Earth","False","TRAPPIST-1e",19,"False",153,"F",32,"S",1,255,521
"Earth","True","PSO J318.5-22",39,"False",154,"G",21,"P",1,0,0
"Mars","False","TRAPPIST-1e",38,"False",155,"F",33,"P",1,1215,174
"Mars","False","TRAPPIST-1e",30.9872278534573,"False",156,"F",34,"P",1,0,0
"Europa","False","TRAPPIST-1e",35,"False",157,"A",1,"P",1,2087,463
"Earth","False","55 Cancri e",26,"False",158,"E",9,"S",2,989,0
"Earth","False","TRAPPIST-1e",31,"False",158,"F",33,"S",2,0,705
"Earth","False","TRAPPIST-1e",38,"False",159,"F",34,"S",1,756,3
"Earth","False","55 Cancri e",27,"False",161,"F",35,"P",1,3121,11
"Mars","True","55 Cancri e",30,"False",162,"F",36,"P",1,0,0
"Earth","False","TRAPPIST-1e",22,"False",166,"G",29,"S",1,0,772
"Europa","True","TRAPPIST-1e",29,"False",168,"C",7,"S",1,0,0
"Earth","True","TRAPPIST-1e",0,"False",175,"G",25,"P",5,0,0
"Earth","False","55 Cancri e",8,"False",175,"G",25,"P",5,0,0
"Earth","True","TRAPPIST-1e",3,"False",175,"G",25,"P",5,0,0
"Earth","True","TRAPPIST-1e",27,"False",175,"G",25,"P",5,0,0
"Earth","False","TRAPPIST-1e",9,"False",175,"G",25,"P",5,0,0
"Earth","False","PSO J318.5-22",29,"False",176,"F",39,"P",1,812,15
"Earth","False","TRAPPIST-1e",18,"False",180,"F",40,"P",1,815,116
"Mars","False","TRAPPIST-1e",22,"False",184,"E",7,"P",1,197,1175
"Mars","False","TRAPPIST-1e",24,"False",185,"F",37,"S",1,6,1415
"Mars","True","55 Cancri e",25,"False",187,"F",38,"S",1,0,0
"Earth","False","TRAPPIST-1e",36,"False",191,"F",39,"S",1,726,206
"Europa","True","TRAPPIST-1e",14,"False",194,"C",4,"P",3,0,0
"Europa","True","55 Cancri e",24,"False",194,"C",4,"P",3,0,0
"Europa","False","55 Cancri e",26,"True",194,"C",4,"P",3,4735,275
"Earth","False","PSO J318.5-22",29,"False",204,"F",43,"P",1,1824,244
"Earth","False","TRAPPIST-1e",40,"False",208,"G",33,"P",1,62,565
"Europa","False","TRAPPIST-1e",36,"False",209,"B",10,"P",1,13993,485
"Europa","False","TRAPPIST-1e",46,"False",214,"E",12,"S",2,3158,520
"Europa","False","TRAPPIST-1e",42,"False",214,"E",12,"S",2,4807,20
"Earth","True","TRAPPIST-1e",23,"False",215,"G",34,"P",1,0,0
"Earth","False","TRAPPIST-1e",19,"False",218,"G",35,"P",1,741,13
"Europa","False","55 Cancri e",25,"False",226,"D",7,"S",1,1534,11931
"Earth","False","TRAPPIST-1e",22,"False",227,"F",28.6721907900523,"S",1,0,0
"Europa","True","TRAPPIST-1e",35,"False",228,"B",4,"S",4,0,0
"Europa","False","55 Cancri e",39,"False",228,"B",4,"S",4,1727,25273
"Europa","True","55 Cancri e",42,"False",228,"B",4,"S",4,0,0
"Europa","False","TRAPPIST-1e",35,"False",228,"B",4,"S",4,8252,1442
"Earth","True","PSO J318.5-22",29,"False",230,"F",49,"P",2,0,0
"Earth","False","TRAPPIST-1e",20,"False",230,"F",49,"P",2,786,0
"Earth","True","TRAPPIST-1e",25,"False",235,"G",40,"P",1,0,0
"Mars","True","TRAPPIST-1e",36,"False",236,"F",51,"P",1,0,0
"Mars","False","TRAPPIST-1e",39,"False",238,"D",7,"P",1,2556,22
"Europa","True","55 Cancri e",23,"False",247,"D",9,"P",2,0,0
"Europa","True","55 Cancri e",19,"False",247,"D",9,"P",2,0,0
"Earth","False","TRAPPIST-1e",50,"False",249,"G",41,"P",1,829,78
"Earth","False","PSO J318.5-22",41,"False",256,"F",48,"S",1,0,728
"Mars","False","55 Cancri e",19,"False",259,"F",55,"P",1,86,2839
"Earth","False","TRAPPIST-1e",20,"False",262,"G",39,"S",1,888,0
"Europa","True","55 Cancri e",19,"False",264,"B",5,"S",3,0,0
"Europa","True","TRAPPIST-1e",38,"False",264,"B",5,"S",3,0,0
"Europa","False","55 Cancri e",32,"False",264,"B",5,"S",3,11113,1442
"Mars","False","TRAPPIST-1e",44,"False",266,"E",12,"P",2,836,462
"Mars","False","TRAPPIST-1e",18,"False",266,"F",57,"P",2,1542,138
"Mars","False","TRAPPIST-1e",49,"False",268,"F",58,"P",2,1668,41
"Mars","False","55 Cancri e",23,"False",268,"E",13,"P",2,3188,0
"Earth","False","TRAPPIST-1e",31,"False",271,"G",44,"P",1,587,335
"Mars","False","TRAPPIST-1e",55,"False",272,"D",10,"P",1,1055,2
"Mars","False","TRAPPIST-1e",60,"False",273,"F",60,"P",3,60,7022
"Mars","True","TRAPPIST-1e",20,"False",273,"F",60,"P",3,0,0
"Mars","False","TRAPPIST-1e",34,"False",273,"E",14,"P",3,1220,79
"Mars","False","TRAPPIST-1e",14,"False",274,"E",17,"S",2,2081,0
"Mars","True","TRAPPIST-1e",26,"False",274,"E",17,"S",2,0,0
"Europa","False","55 Cancri e",19,"False",276,"B",6,"S",2,4423,86
"Europa","True","TRAPPIST-1e",25,"False",276,"B",6,"S",2,0,0
"Earth","False","55 Cancri e",42,"False",279,"F",62,"P",1,711,10
"Earth","False","TRAPPIST-1e",18,"False",280,"F",53,"S",1,212,690
"Mars","False","TRAPPIST-1e",50,"False",284,"E",15,"P",1,0,1299
"Earth","False","TRAPPIST-1e",26,"False",292,"F",56,"S",1,1360,2116
"Europa","True","TRAPPIST-1e",47,"False",293,"F",34.4493852486953,"S",1,0,0
"Earth","False","PSO J318.5-22",35,"False",295,"F",66,"P",1,1000,627
"Mars","False","55 Cancri e",58,"False",296,"F",57,"S",1,1051,422
"Earth","False","55 Cancri e",20,"False",299,"F",58,"S",1,377,242
"Europa","False","TRAPPIST-1e",28,"False",300,"D",11,"P",1,5495,11681
"Earth","True","PSO J318.5-22",12,"False",308,"G",48,"P",1,0,0
"Earth","False","55 Cancri e",20,"False",311,"E",17,"P",1,10,0
"Earth","True","TRAPPIST-1e",22,"False",312,"G",49,"P",1,0,0
"Earth","False","TRAPPIST-1e",31,"False",317,"G",43,"S",1,608,115
"Earth","True","PSO J318.5-22",24,"False",318,"G",52,"P",1,0,0
"Mars","False","TRAPPIST-1e",17,"False",319,"E",18,"P",2,1073,1026
"Mars","True","55 Cancri e",27.7598263542046,"False",319,"F",69,"P",2,0,0
"Earth","True","55 Cancri e",18,"False",323,"F",27.3207386337764,"S",1,0,0
"Earth","False","TRAPPIST-1e",48,"False",325,"G",54,"P",1,0,755
"Earth","False","TRAPPIST-1e",38,"False",328,"F",71,"P",1,3,1253
"Europa","True","55 Cancri e",33,"False",329,"B",14,"P",1,0,0
"Earth","True","TRAPPIST-1e",20,"False",332,"G",55,"P",1,0,0
"Mars","False","TRAPPIST-1e",22,"False",335,"E",20,"S",1,0,0
"Earth","False","TRAPPIST-1e",52,"False",339,"F",75,"P",8,480,322
"Earth","False","55 Cancri e",15,"False",339,"F",75,"P",8,638,7
"Earth","False","TRAPPIST-1e",25,"False",339,"F",75,"P",8,19,757
"Earth","True","55 Cancri e",14,"False",339,"G",56,"P",8,0,0
"Earth","True","55 Cancri e",11.4818430390579,"False",339,"G",56,"P",8,0,0
"Earth","False","TRAPPIST-1e",16,"False",339,"F",75,"P",8,1938,0
"Earth","False","TRAPPIST-1e",48,"False",339,"G",56,"P",8,759,259
"Earth","False","TRAPPIST-1e",36,"False",339,"F",75,"P",8,796,69
"Earth","False","PSO J318.5-22",19,"False",342,"E",19,"P",2,0,684
"Earth","True","PSO J318.5-22",43,"False",342,"G",58,"P",2,0,0
"Europa","True","TRAPPIST-1e",32,"False",344,"C",8,"P",2,0,0
"Europa","False","55 Cancri e",54,"False",344,"C",8,"P",2,4889,4399
"Europa","False","TRAPPIST-1e",33,"False",349,"A",4,"S",6,9322,1030
"Europa","True","TRAPPIST-1e",21,"False",349,"A",4,"S",6,0,0
"Europa","False","TRAPPIST-1e",33,"False",349,"A",4,"S",6,1889,737
"Europa","True","55 Cancri e",28,"False",349,"A",4,"S",6,0,0
"Europa","False","TRAPPIST-1e",23,"False",349,"A",4,"S",6,1897,1468
"Europa","False","TRAPPIST-1e",26,"False",349,"A",4,"S",6,2376,67
"Mars","True","TRAPPIST-1e",41,"False",351,"F",77,"P",1,0,0
"Earth","True","TRAPPIST-1e",2,"False",353,"G",61,"P",2,0,0
"Earth","True","PSO J318.5-22",21,"False",353,"G",61,"P",2,0,0
"Earth","False","PSO J318.5-22",70,"False",354,"F",79,"P",1,133,1247
"Earth","False","TRAPPIST-1e",20,"False",362,"F",80,"P",1,0,1707
"Earth","False","TRAPPIST-1e",31,"False",363,"E",22,"S",3,273,723
"Earth","False","TRAPPIST-1e",8,"False",363,"E",22,"S",3,0,0
"Earth","True","TRAPPIST-1e",5,"False",363,"E",22,"S",3,0,0
"Mars","False","TRAPPIST-1e",45,"False",364,"F",81,"P",2,292,932
"Mars","False","TRAPPIST-1e",37,"False",364,"F",29.1112785104805,"S",2,781,517
"Earth","True","TRAPPIST-1e",24,"False",366,"G",52,"S",1,0,0
"Europa","False","55 Cancri e",55,"False",367,"D",11,"S",1,5294,538
"Earth","False","TRAPPIST-1e",18,"False",374,"F",86,"P",2,553,251
"Earth","False","TRAPPIST-1e",36,"False",374,"F",26.7962414470754,"S",2,789,0
"Mars","False","TRAPPIST-1e",59,"False",386,"D",12,"S",1,1678,12
"Earth","True","TRAPPIST-1e",61,"False",390,"G",67,"P",1,0,0
"Earth","False","55 Cancri e",46,"False",393,"G",58,"S",1,4923,4
"Mars","False","TRAPPIST-1e",29,"False",394,"F",87,"P",1,90,1259
"Earth","True","TRAPPIST-1e",18,"False",399,"G",68,"P",1,0,0
"Europa","True","TRAPPIST-1e",20,"False",400,"C",10,"P",1,0,0
"Mars","False","TRAPPIST-1e",28,"False",404,"F",88,"P",1,4,2219
"Earth","False","TRAPPIST-1e",26,"False",406,"F",70,"S",1,708,193
"Earth","False","TRAPPIST-1e",32,"False",414,"F",93,"P",1,2418,759
"Earth","False","TRAPPIST-1e",18,"False",416,"E",23,"S",1,663,0
"Earth","False","TRAPPIST-1e",50,"False",418,"F",94,"P",1,737,0
"Earth","False","TRAPPIST-1e",47,"False",419,"G",70,"P",3,246,562
"Earth","True","PSO J318.5-22",15,"False",419,"G",70,"P",3,0,0
"Earth","True","TRAPPIST-1e",35,"False",419,"G",70,"P",3,0,0
"Earth","False","TRAPPIST-1e",49,"False",420,"F",95,"P",1,1071,0
"Europa","False","55 Cancri e",32,"False",421,"C",12,"P",1,81,8368
"Earth","False","TRAPPIST-1e",63,"False",422,"G",61,"S",1,839,6
"Mars","False","TRAPPIST-1e",54,"False",424,"F",73,"S",1,1157,441
"Earth","False","TRAPPIST-1e",21,"False",426,"F",74,"S",1,756,20
"Mars","False","TRAPPIST-1e",38,"False",440,"D",14,"P",1,1033,1544
"Mars","False","TRAPPIST-1e",50,"False",443,"E",24,"S",1,0,0
"Earth","False","PSO J318.5-22",32,"False",450,"F",82,"S",1,690,858
"Europa","True","55 Cancri e",33,"False",451,"C",17,"S",1,0,0
"Europa","False","TRAPPIST-1e",30,"False",455,"D",16,"P",1,462,937
"Earth","True","TRAPPIST-1e",28,"False",464,"G",68,"S",1,0,0
"Mars","True","TRAPPIST-1e",22,"False",467,"D",17,"P",4,0,0
"Mars","True","TRAPPIST-1e",28.3778316337228,"False",467,"D",17,"P",4,0,0
"Mars","True","55 Cancri e",37,"False",467,"D",17,"P",4,0,0
"Mars","False","TRAPPIST-1e",59,"False",467,"D",17,"P",4,53,2736
"Europa","False","TRAPPIST-1e",31,"False",469,"C",18,"S",1,2756,2522
"Earth","False","TRAPPIST-1e",25,"False",473,"F",102,"P",1,262,541
"Europa","False","TRAPPIST-1e",38,"False",478,"C",14,"P",2,7722,147
"Europa","True","55 Cancri e",37,"False",478,"C",14,"P",2,0,0
"Europa","True","55 Cancri e",44,"False",479,"B",16,"S",1,0,0
"Europa","True","TRAPPIST-1e",28,"False",483,"D",18,"P",2,0,0
"Europa","False","TRAPPIST-1e",45,"False",483,"D",18,"P",2,0,0
"Mars","True","55 Cancri e",53,"False",484,"F",104,"P",1,0,0
"Earth","False","55 Cancri e",21,"False",486,"G",75,"P",1,21,687
"Mars","True","TRAPPIST-1e",33,"False",489,"E",31,"P",2,0,0
"Mars","True","TRAPPIST-1e",18,"False",489,"F",105,"P",2,0,0
"Earth","False","PSO J318.5-22",37,"False",491,"F",106,"P",1,15,1022
"Mars","False","TRAPPIST-1e",34,"False",492,"D",17,"S",1,686,371
"Earth","True","TRAPPIST-1e",46,"False",493,"G",72,"S",1,0,0
"Europa","True","55 Cancri e",18,"False",494,"C",15,"P",2,0,0
"Europa","False","TRAPPIST-1e",19,"False",494,"C",15,"P",2,823,1441
"Earth","True","TRAPPIST-1e",4,"False",495,"G",73,"S",6,0,0
"Earth","True","TRAPPIST-1e",0,"False",495,"G",73,"S",6,0,0
"Earth","True","TRAPPIST-1e",12,"False",495,"G",73,"S",6,0,0
"Earth","False","TRAPPIST-1e",7,"False",495,"G",73,"S",6,0,0
"Earth","False","TRAPPIST-1e",34,"False",495,"G",73,"S",6,3063,17
"Earth","False","TRAPPIST-1e",10,"False",495,"G",73,"S",6,0,0
"Earth","False","55 Cancri e",0,"False",496,"G",77,"P",2,103,0
"Earth","True","PSO J318.5-22",14,"False",496,"G",77,"P",2,0,0
"Mars","True","TRAPPIST-1e",27,"False",497,"F",107,"P",1,0,0
"Earth","False","TRAPPIST-1e",21,"False",505,"F",108,"P",1,501,363
"Europa","False","55 Cancri e",37,"False",508,"D",20,"P",1,4669,2082
"Earth","True","TRAPPIST-1e",29,"False",509,"F",28.6721907900523,"S",1,0,0
"Earth","False","TRAPPIST-1e",17,"False",511,"G",76,"S",1,761,131
"Earth","True","TRAPPIST-1e",17,"False",514,"G",79,"P",1,0,0
"Europa","False","TRAPPIST-1e",35,"False",524,"T",0,"S",1,298,7114
"Earth","True","TRAPPIST-1e",34,"False",526,"G",80,"P",1,0,0
"Europa","False","TRAPPIST-1e",17,"False",530,"B",21,"S",3,3247,752
"Europa","False","55 Cancri e",39,"False",530,"B",21,"S",3,5762,547
"Europa","True","55 Cancri e",56,"False",530,"B",21,"S",3,0,0
"Europa","False","55 Cancri e",35,"False",532,"B",22,"S",2,4996,20
"Europa","True","TRAPPIST-1e",17,"False",532,"B",22,"S",2,0,0
"Earth","False","PSO J318.5-22",29,"False",535,"E",34,"S",1,395,288
"Mars","False","TRAPPIST-1e",15,"False",536,"F",94,"S",2,4922,2427
"Mars","False","TRAPPIST-1e",37,"False",536,"E",35,"S",2,1065,232
"Europa","True","TRAPPIST-1e",36,"False",541,"B",23,"S",1,0,0
"Earth","True","TRAPPIST-1e",36,"False",543,"G",85,"P",1,0,0
"Europa","False","TRAPPIST-1e",18,"False",544,"C",20,"S",1,60,9352
"Mars","False","TRAPPIST-1e",61,"False",554,"F",112,"P",1,2222,0
"Mars","True","TRAPPIST-1e",45,"False",557,"F",113,"P",2,0,0
"Mars","True","TRAPPIST-1e",21,"False",557,"F",113,"P",2,0,0
"Earth","False","TRAPPIST-1e",65,"False",558,"F",101,"S",1,0,804
"Mars","False","TRAPPIST-1e",27,"False",562,"F",104,"S",2,286,1023
"Mars","True","TRAPPIST-1e",13,"False",562,"F",104,"S",2,0,0
"Mars","False","TRAPPIST-1e",32,"False",574,"F",30.9872278534573,"S",1,2543,56
"Earth","True","TRAPPIST-1e",17,"False",578,"G",84,"S",2,0,0
"Earth","False","TRAPPIST-1e",44,"False",578,"G",84,"S",2,0,0
"Earth","True","TRAPPIST-1e",21,"False",584,"G",88,"P",2,0,0
"Earth","False","TRAPPIST-1e",16,"False",584,"F",119,"P",2,2489,379
"Earth","False","TRAPPIST-1e",41,"False",592,"F",122,"P",1,32,1032
"Earth","True","TRAPPIST-1e",40,"False",595,"G",88,"S",1,0,0
"Earth","False","TRAPPIST-1e",16,"False",601,"G",92,"P",1,0,492
"Earth","False","TRAPPIST-1e",17,"False",604,"F",127,"P",1,0,697
