"HomePlanet","CryoSleep","Destination","Age","VIP","Transported","Group_id","Deck","Num","Side","Group_size","LuxuryExpenses","RegularExpenses"
"Europa","False","TRAPPIST-1e",39,"False",0,1,"B",0,"P",1,0,0
"Earth","False","TRAPPIST-1e",24,"False",1,2,"F",0,"S",1,702,34
"Europa","False","TRAPPIST-1e",58,"True",0,3,"A",0,"S",2,6807,3576
"Europa","False","TRAPPIST-1e",33,"False",0,3,"A",0,"S",2,3522,1654
"Earth","False","TRAPPIST-1e",16,"False",1,4,"F",1,"S",1,870,221
"Earth","False","PSO J318.5-22",44,"False",1,5,"F",0,"P",1,291,483
"Earth","False","TRAPPIST-1e",26,"False",1,6,"F",2,"S",1,42,1542
"Earth","False","TRAPPIST-1e",35,"False",1,7,"F",3,"S",1,216,802
"Europa","True","55 Cancri e",14,"False",1,8,"B",1,"P",3,0,0
"Europa","False","55 Cancri e",45,"False",1,8,"B",1,"P",3,273,7884
"Mars","False","TRAPPIST-1e",32,"False",1,9,"F",1,"P",1,186,1123
"Earth","False","TRAPPIST-1e",48,"False",0,10,"G",1,"S",1,743,66
"Earth","False","TRAPPIST-1e",28,"False",1,11,"F",2,"P",1,17,986
"Earth","False","55 Cancri e",24,"False",0,15,"F",4,"P",1,637,1
"Mars","True","TRAPPIST-1e",45,"False",1,16,"F",5,"P",1,0,0
"Earth","False","TRAPPIST-1e",0,"False",1,17,"G",0,"P",2,0,0
"Earth","False","55 Cancri e",14,"False",0,17,"F",6,"P",2,1091,1
"Earth","True","TRAPPIST-1e",1,"False",0,20,"E",0,"S",6,0,0
"Earth","True","55 Cancri e",49,"False",0,20,"E",0,"S",6,0,0
"Earth","False","TRAPPIST-1e",10,"False",1,20,"E",0,"S",6,0,0
"Earth","False","TRAPPIST-1e",7,"False",0,20,"E",0,"S",6,0,0
"Mars","False","TRAPPIST-1e",21,"False",0,22,"D",0,"P",1,980,71
"Earth","False","TRAPPIST-1e",15,"False",0,25,"F",6,"S",1,998,225
"Europa","False","55 Cancri e",34,"False",0,26,"C",0,"P",1,1788,6073
"Mars","False","TRAPPIST-1e",43,"False",0,28,"F",8,"P",1,1173,136
"Earth","False","TRAPPIST-1e",32,"False",0,30,"G",4,"S",1,890,931
"Mars","False","TRAPPIST-1e",47,"False",1,31,"F",9,"P",2,1443,1411
